"","Package","Built"
"1","abind","3.4.0"
"2","acepack","3.4.0"
"3","acs","3.4.3"
"4","assertthat","3.4.0"
"5","aws.s3","3.4.4"
"6","backports","3.4.3"
"7","base","3.4.2"
"8","base64enc","3.4.0"
"9","BBmisc","3.4.0"
"10","BH","3.4.3"
"11","bindr","3.4.4"
"12","bindrcpp","3.4.4"
"13","bit","3.4.4"
"14","bit64","3.4.0"
"15","bitops","3.4.0"
"16","blob","3.4.4"
"17","bnstruct","3.4.0"
"18","boot","3.4.2"
"19","broom","3.4.4"
"20","callr","3.4.4"
"21","car","3.4.4"
"22","carData","3.4.4"
"23","caret","3.4.4"
"24","caTools","3.4.0"
"25","cellranger","3.4.0"
"26","checkmate","3.4.2"
"27","choroplethr","3.4.4"
"28","class","3.4.2"
"29","classInt","3.4.4"
"30","cli","3.4.2"
"31","climbeR","3.4.0"
"32","clipr","3.4.4"
"33","clisymbols","3.4.0"
"34","cluster","3.4.2"
"35","CodeDepends","3.4.2"
"36","codetools","3.4.2"
"37","colorspace","3.4.0"
"38","compiler","3.4.2"
"39","corrplot","3.4.2"
"40","cowplot","3.4.3"
"41","crayon","3.4.1"
"42","crosstalk","3.4.0"
"43","curl","3.4.4"
"44","CVST","3.4.4"
"45","data.table","3.4.4"
"46","DataExplorer","3.4.4"
"47","datasets","3.4.2"
"48","DBI","3.4.4"
"49","dbplyr","3.4.3"
"50","ddalpha","3.4.4"
"51","DEoptimR","3.4.0"
"52","desc","3.4.4"
"53","devtools","3.4.2"
"54","dichromat","3.4.0"
"55","digest","3.4.3"
"56","dimRed","3.4.0"
"57","DMwR","3.4.0"
"58","downloader","3.4.0"
"59","dplyr","3.4.4"
"60","drake","3.4.4"
"61","DRR","3.4.3"
"62","DT","3.4.3"
"63","e1071","3.4.0"
"64","enc","3.4.3"
"65","etl","3.4.2"
"66","evaluate","3.4.1"
"67","fastmatch","3.4.0"
"68","feather","3.4.0"
"69","fec","3.4.2"
"70","fiftystater","3.4.0"
"71","forcats","3.4.3"
"72","foreach","3.4.3"
"73","foreign","3.4.2"
"74","formatR","3.4.0"
"75","Formula","3.4.4"
"76","future","3.4.4"
"77","future.apply","3.4.4"
"78","gbm","3.4.0"
"79","gdata","3.4.0"
"80","geometry","3.4.0"
"81","geosphere","3.4.2"
"82","GGally","3.4.4"
"83","ggmap","3.4.0"
"84","ggplot2","3.4.4"
"85","ggpubr","3.4.2"
"86","ggrepel","3.4.4"
"87","ggsci","3.4.4"
"88","ggsignif","3.4.1"
"89","ggthemes","3.4.4"
"90","gh","3.4.1"
"91","git2r","3.4.3"
"92","glmnet","3.4.4"
"93","globals","3.4.2"
"94","glue","3.4.4"
"95","gower","3.4.0"
"96","gplots","3.4.0"
"97","graphics","3.4.2"
"98","grDevices","3.4.2"
"99","grid","3.4.2"
"100","gridExtra","3.4.1"
"101","gtable","3.4.0"
"102","gtools","3.4.0"
"103","haven","3.4.3"
"104","here","3.4.0"
"105","hexbin","3.4.3"
"106","highr","3.4.2"
"107","Hmisc","3.4.3"
"108","hms","3.4.4"
"109","htmlTable","3.4.4"
"110","htmltools","3.4.0"
"111","htmlwidgets","3.4.4"
"112","httpuv","3.4.4"
"113","httr","3.4.1"
"114","igraph","3.4.4"
"115","iml","3.4.4"
"116","ini","3.4.4"
"117","inline","3.4.4"
"118","inum","3.4.3"
"119","ipred","3.4.0"
