"","Package","LibPath","Version","Priority","Built"
"1","abind","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4-5",NA,"3.4.0"
"2","acepack","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.1",NA,"3.4.0"
"3","acs","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.3",NA,"3.4.3"
"4","assertthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"5","aws.s3","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.12",NA,"3.4.4"
"6","backports","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.3"
"7","base","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"8","base64enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-3",NA,"3.4.0"
"9","BBmisc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.11",NA,"3.4.0"
"10","BH","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.66.0-1",NA,"3.4.3"
"11","bindr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1",NA,"3.4.4"
"12","bindrcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.2",NA,"3.4.4"
"13","bit","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-14",NA,"3.4.4"
"14","bit64","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-7",NA,"3.4.0"
"15","bitops","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-6",NA,"3.4.0"
"16","blob","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.4"
"17","bnstruct","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.2",NA,"3.4.0"
"18","boot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-20","recommended","3.4.2"
"19","broom","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.4",NA,"3.4.4"
"20","callr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.4",NA,"3.4.4"
"21","car","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.0-0",NA,"3.4.4"
"22","carData","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.0-1",NA,"3.4.4"
"23","caret","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","6.0-80",NA,"3.4.4"
"24","caTools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.17.1",NA,"3.4.0"
"25","cellranger","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"26","checkmate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8.5",NA,"3.4.2"
"27","choroplethr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.6.2",NA,"3.4.4"
"28","class","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-14","recommended","3.4.2"
"29","classInt","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-3",NA,"3.4.4"
"30","cli","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.2"
"31","climbeR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.0.1",NA,"3.4.0"
"32","clipr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.1",NA,"3.4.4"
"33","clisymbols","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.0"
"34","cluster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.6","recommended","3.4.2"
"35","CodeDepends","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5-3",NA,"3.4.2"
"36","codetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-15","recommended","3.4.2"
"37","colorspace","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.0"
"38","compiler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"39","corrplot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.84",NA,"3.4.2"
"40","cowplot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9.2",NA,"3.4.3"
"41","crayon","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.4",NA,"3.4.1"
"42","crosstalk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"43","curl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.2",NA,"3.4.4"
"44","CVST","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-2",NA,"3.4.4"
"45","data.table","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.11.4",NA,"3.4.4"
"46","DataExplorer","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.0",NA,"3.4.4"
"47","datasets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"48","DBI","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.4"
"49","dbplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.3"
"50","ddalpha","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.3",NA,"3.4.4"
"51","DEoptimR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-8",NA,"3.4.0"
"52","desc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.4"
"53","devtools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.13.6",NA,"3.4.2"
"54","dichromat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-0",NA,"3.4.0"
"55","digest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.15",NA,"3.4.3"
